created_at,Date,Week,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name_1,user_statuses_count,user_time_zone,user_urls,user_verified,month,year
Sat Feb 01 15:22:00 +0000 2020,1-Feb,week 1,coronavirus 2019nCoV,https://twitter.com/CDCgov/status/1223627565878788096/video/1,http://www.cdc.gov/nCoV,723,1.22E+18,NA,NA,NA,en,NA,FALSE,532,NA,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Authorities in China identified the novel (new) #coronavirus, which has resulted in several thousand confirmed cases in China. Additional cases have been identified in other international locations, including the U.S. Learn more about #2019nCoV: https://t.co/qhticRN9Ix. https://t.co/RVgC5VUwjT",https://twitter.com/CDCgov/status/1223627565878788096,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Sat Feb 01 21:45:03 +0000 2020,1-Feb,week 1,CDC 2019nCoV coronavirus,https://twitter.com/CDCgov/status/1223723965887197184/photo/1,http://www.cdc.gov/ncov,424,1.22E+18,NA,NA,NA,en,NA,FALSE,243,NA,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Outbreak response in action: #CDC staff are actively responding to the ongoing #2019nCoV outbreak in CDC’s Emergency Operations Center (EOC). CDC works 24/7 to keep Americans safe from public health threats. For #coronavirus updates &amp; to learn more: https://t.co/ueWP8UYkLW https://t.co/SIoZmA3xfm,https://twitter.com/CDCgov/status/1223723965887197184,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Sun Feb 02 15:52:03 +0000 2020,2-Feb,week 1,HCPs coronavirus 2019nCoV,https://twitter.com/CDCgov/status/1223997519136460800/photo/1,https://bit.ly/31lpCge,284,1.22E+18,NA,NA,NA,en,NA,FALSE,250,NA,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","#HCPs: See the newest CDC Health Update on 2019 novel #coronavirus, updating interim guidance for:
▪️ caring for 2019-nCoV patients,
▪️ evaluating and testing of patients under investigation, and
▪️ preventing and controlling #2019nCoV infection.

https://t.co/uHtpS9LbbQ https://t.co/3suBmMxLe1",https://twitter.com/CDCgov/status/1223997519136460800,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Sun Feb 02 16:25:00 +0000 2020,2-Feb,week 1,2019nCoV coronavirus,https://twitter.com/CDCgov/status/1224005808037384192/video/1,https://bit.ly/37KxL07,490,1.22E+18,NA,NA,NA,en,NA,FALSE,422,NA,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","Much is unknown about how #2019nCoV, a new #coronavirus, spreads. Currently there is no evidence to support spread of 2019-nCoV from packages or products imported from China. See what is know about the spread of coronaviruses: https://t.co/Ga2u5klE1v https://t.co/rmdLjYswTG",https://twitter.com/CDCgov/status/1224005808037384192,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Sun Feb 02 19:20:00 +0000 2020,2-Feb,week 1,2019nCoV outbreak,https://twitter.com/CDCgov/status/1224049848296656896/video/1,https://bit.ly/37Ay6Cm,690,1.22E+18,NA,NA,NA,en,NA,FALSE,627,NA,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","#2019nCoV is a virus identified as the cause of the respiratory #outbreak first detected in Wuhan, China. The virus is not spreading in the US, but you can help prevent the spread of respiratory illness by following everyday healthy habits. https://t.co/uArGZTrH5L https://t.co/pjTs9bFzuO",https://twitter.com/CDCgov/status/1224049848296656896,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Mon Feb 03 15:45:06 +0000 2020,3-Feb,week 1,flu,https://twitter.com/CDCgov/status/1224358157885083648/photo/1,https://bit.ly/2AJe9L4,205,1.22E+18,NA,NA,NA,en,NA,FALSE,207,NA,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","CDC estimates that between Oct. 1 and Jan. 25, there were at least 19 million illnesses, 180,000 hospitalizations and 10,000 deaths caused by #flu. 
Learn more about the burden of flu: https://t.co/kfI18PWwiI. https://t.co/dNDC4PhdHo",https://twitter.com/CDCgov/status/1224358157885083648,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Mon Feb 03 16:00:33 +0000 2020,3-Feb,week 1,fluvaccine antivirals,https://twitter.com/CDCgov/status/1224362041936416768/photo/1,https://bit.ly/2SO61Ty,439,1.22E+18,NA,NA,NA,en,NA,FALSE,408,NA,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Elevated flu activity is expected to continue for weeks. As long as flu is spreading in your area, a #fluvaccine is the best way to reduce your risk of flu. If you do get sick with flu, #antivirals can treat flu and prevent serious complications: https://t.co/3Jczq9SmU9. https://t.co/Z90WbSUfet",https://twitter.com/CDCgov/status/1224362041936416768,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Tue Feb 04 14:01:56 +0000 2020,4-Feb,week 1,NA,NA,NA,2,1.22E+18,AntiDemRats,1.22E+18,1.18E+18,en,NA,NA,0,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@AntiDemRats These estimates are for the United States. They are based on the data from CDC’s weekly influenza surveillance reports.,https://twitter.com/CDCgov/status/1224694580089688064,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Tue Feb 04 14:02:54 +0000 2020,4-Feb,week 1,NA,NA,NA,1,1.22E+18,lisavilisa,1.22E+18,33631544,en,NA,NA,0,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@lisavilisa Yes. This season’s flu vaccines are formulated to protect against four recommended viruses, two flu A and two flu B viruses, including representative A(H3N2), A(H1N1), B/Victoria and B/Yamagata viruses.",https://twitter.com/CDCgov/status/1224694823795511296,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Tue Feb 04 16:40:22 +0000 2020,4-Feb,week 1,Coronavirus,NA,NA,0,1.22E+18,NA,NA,NA,en,NA,NA,34,1.22E+18,USAmbDRC,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @USAmbDRC: We commend the efforts already underway by @MinSanteRDC to be prepared if there is a case of #Coronavirus in DRCongo. Our in-…,https://twitter.com/CDCgov/status/1224734452527648768,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
